Airplane,Date,DepCode,Way,DesCode,DepTime,ArrTime,Day,Duration,Price,PriceEx,DateOfBought,Stop,Days
THY,1.06.2022,ESB,ESB-IST-AYT,AYT,03:05,07:30,A,265,789,98,16.02.2022,2,105
THY,1.06.2022,ESB,ESB-IST-GZT,GZT,03:05,08:15,A,310,909,98,16.02.2022,2,105
THY,1.06.2022,ESB,ESB-DLM,DLM,07:50,09:00,A,70,606,99,16.02.2022,1,105
THY,1.06.2022,ESB,ESB-IST,IST,03:05,04:15,A,70,388,99,16.02.2022,1,105
THY,1.06.2022,ESB,ESB-IST,IST,07:50,08:55,A,65,539,99,16.02.2022,1,105
THY,1.06.2022,ESB,ESB-ADB-IST,IST,07:55,11:50,A,235,1187,99,16.02.2022,2,105
THY,1.06.2022,ESB,ESB-IST-KYA,KYA,03:05,07:40,A,275,789,98,16.02.2022,2,105
THY,1.06.2022,ESB,ESB-IST-KYA,KYA,12:50,19:50,A,420,1189,98,16.02.2022,2,105
THY,1.06.2022,ESB,ESB-ADB,ADB,07:55,09:15,A,80,606,99,16.02.2022,1,105
THY,1.06.2022,ESB,ESB-TZX,TZX,08:00,09:15,A,75,606,99,16.02.2022,1,105
THY,1.06.2022,ESB,ESB-IST-TZX,TZX,03:05,07:40,A,275,1029,98,16.02.2022,2,105
THY,1.06.2022,ESB,ESB-IST-NAV,NAV,03:05,07:55,A,290,969,98,16.02.2022,2,105
THY,1.07.2022,ESB,ESB-AYT,AYT,07:50,09:00,A,70,606,99,16.02.2022,1,135
THY,1.07.2022,ESB,ESB-IST-AYT,AYT,07:50,11:30,A,220,909,98,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-GZT,GZT,23:55,01:05,S,70,606,99,16.02.2022,1,135
THY,1.07.2022,ESB,ESB-IST-GZT,GZT,10:30,17:15,A,405,909,98,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-DLM,DLM,07:55,09:10,A,75,606,99,16.02.2022,1,135
THY,1.07.2022,ESB,ESB-IST-DLM,DLM,14:50,19:55,A,305,1189,98,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-IST,IST,03:05,04:15,A,70,358,99,16.02.2022,1,135
THY,1.07.2022,ESB,ESB-BJV-IST,IST,08:00,11:50,A,230,1187,99,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-AYT-IST,IST,21:45,01:50,S,245,1187,99,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-IST-KYA,KYA,03:05,07:40,A,275,1189,98,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-ADB,ADB,08:05,09:25,A,80,606,99,16.02.2022,1,135
THY,1.07.2022,ESB,ESB-SAW-ADB,ADB,13:30,16:45,A,195,1097,0,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-TZX,TZX,07:15,08:30,A,75,606,99,16.02.2022,1,135
THY,1.07.2022,ESB,ESB-IST-TZX,TZX,04:25,10:15,A,350,1189,98,16.02.2022,2,135
THY,1.07.2022,ESB,ESB-IST-NAV,NAV,03:05,07:55,A,290,1029,98,16.02.2022,2,135
THY,1.08.2022,ESB,ESB-AYT,AYT,07:15,08:25,A,70,606,99,16.02.2022,1,166
THY,1.08.2022,ESB,ESB-IST-AYT,AYT,03:05,07:30,A,265,1029,98,16.02.2022,2,166
THY,1.08.2022,ESB,ESB-IST-AYT,AYT,10:30,13:40,A,190,969,98,16.02.2022,2,166
THY,1.08.2022,ESB,ESB-GZT,GZT,08:05,09:15,A,70,606,99,16.02.2022,1,166
THY,1.08.2022,ESB,ESB-GZT,GZT,23:55,01:05,S,70,606,99,16.02.2022,1,166
THY,1.08.2022,ESB,ESB-DLM,DLM,07:55,09:10,A,75,606,99,16.02.2022,1,166
THY,1.08.2022,ESB,ESB-IST-DLM,DLM,11:50,17:30,A,340,1189,98,16.02.2022,2,166
